emoji,variant,base,detail,outline,mane_base,mane_high,face_base,face_inner,ear_inner,nose,whisker_dot,eye,body_base,wing,beak,leaf_base,leaf_detail,flower,stem,body,window,wheel
1f004,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f004,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f004,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f004,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f004,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f0cf,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f0cf,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f0cf,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f0cf,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f0cf,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f170,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f170,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f170,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f170,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f170,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f171,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f171,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f171,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f171,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f171,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f17e,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f17e,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f17e,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f17e,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f17e,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f17f,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f17f,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f17f,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f17f,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f17f,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f18e,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f18e,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f18e,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f18e,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f18e,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f191,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f191,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f191,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f191,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f191,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f192,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f192,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f192,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f192,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f192,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f193,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f193,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f193,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f193,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f193,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f194,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f194,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f194,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f194,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f194,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f195,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f195,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f195,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f195,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f195,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f196,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f196,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f196,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f196,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f196,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f197,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f197,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f197,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f197,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f197,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f198,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f198,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f198,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f198,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f198,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f199,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f199,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f199,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f199,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f199,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f19a,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f19a,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f19a,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f19a,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f19a,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e8,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e8,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e8,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e8,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e8,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e9,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e9,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e9,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e9,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1e9,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ea,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ea,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ea,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ea,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ea,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1eb,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1eb,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1eb,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1eb,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1eb,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ec,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ec,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ec,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ec,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ec,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ee,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ee,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ee,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ee,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ee,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
